MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
M00021	10774.88	8144.2	7805.76	19685.6307692308	15551.1428571429	7872.825	7871.7	5054.1375	22061.0142857143	6970.0125	6578.85	12660.6	8050.95	18605.7818181818	5469.04285714286	1624.58823529412	12546.56	23784.05	5921.48	18428.2	5521.05882352941	5244.375	9891.8	9149.92941176471	9433.11428571429	39052.25	33961.8	7413.68571428571	10858.2857142857	12472.8705882353	22806.7	5105.75	13146.1764705882	5765.22857142857
M00022	65178.0819205333	160242.401087167	43416.5902054667	57350.7154296923	73890.842082	102952.639835562	35795.22263975	27753.819089	122213.630881214	70084.8988239375	36196.6330320625	76050.321854	92284.82936175	182201.759446727	67996.93116	11055.1211462353	52585.2977626667	180861.8108575	40224.9581202	178612.312007933	36164.4512339412	35674.5933948125	62731.1865534	65783.6345631177	70144.4583568571	203686.4199445	186555.709532833	26190.9345525714	125969.266901357	94833.0616715882	245029.973623583	33353.4026931667	72162.3763076471	16063.8805461429
M00023	33914.7332578	37125.624362	24341.7695056	33898.4444070769	43171.3321844286	32423.4482093125	16460.2254765625	14478.3784230625	48169.7224536429	24938.370617125	16750.4574905625	29233.8590112	24026.8478756875	65389.6611020909	22274.9029694286	3997.47080558824	38061.3455188	40567.5105614167	20090.1492188667	49056.0355137333	19426.6912206471	12989.8807654375	24622.0847918667	28714.9831106471	37227.8000494286	72787.2325473333	81381.8644201667	14737.6399677143	38523.1352867857	32410.5647834706	56153.1095648333	29364.8505391667	30125.7033114706	8781.5416795
M00024	12729.2064334667	29942.1991956667	10730.2394866667	9901.80129130769	15832.4838864286	26848.228279375	5854.941053625	5283.4929038125	31816.7863943571	13610.969028875	7293.8436335	20189.5115056	20488.31802625	40931.67705	16341.2921413571	2538.36993623529	8617.4992062	48722.9719425833	10122.2843006667	41195.6877446	7361.51981688235	8158.3745345	14234.9817866667	12855.9715799412	15229.04465	42171.52026375	38071.9096425	4222.39238964286	27501.6882507143	20362.9627825882	55004.460924	8253.68500625	12857.4573877059	1884.80495464286
M00025	13889.8951676	31724.6660199167	12153.28288	13865.07778	19297.6814221429	27539.300044	7053.2661630625	6367.2863189375	33804.6484019286	14726.3258718125	8729.883328875	22408.5064899	21555.122792125	44346.3797895455	17184.251008	2707.49584141176	10782.3991365333	50089.46904875	11148.8859486	41253.2537106	8192.68263205882	7655.36840475	15407.2312302	14051.8541575882	17659.6743857143	48291.1949858333	42286.593453	5171.30987457143	28921.2246733571	21141.3128109412	56092.84065825	9444.14574083333	16083.3022921765	2706.51357571429
M00026	111145.2125	255098.614583333	74794.3875	74621.4807692308	120825.9375	165744.5546875	52920.453125	44296.97265625	203994.75	120341.76953125	56692.96875	133446.71875	145794.01953125	283421.0625	121846.625	16770.4411764706	85012.3708333333	268819.25	74761.825	307832.758333333	62945.5955882353	59771.5703125	110709.191666667	115087.408088235	125768.15625	297087.546875	221554.114583333	36898.8169642857	199705.513392857	155120.511029412	395382.270833333	60434.9375	99838.8713235294	19911.2723214286
M00027	7402.49227966667	17874.6131719167	3696.90083833333	896.602934230769	6319.14601671429	13017.9004431875	1759.197726375	1940.8756438125	16677.1496543571	9149.701988	2884.063638625	10533.0875683	11681.35876425	22038.9341894545	8454.83638278571	958.941139235294	3236.9902014	25386.7749993333	4345.2895644	26960.8107430667	3268.23600517647	4380.3755925	6831.21287786667	7915.649882	6356.80972635714	19243.8817671667	9632.11553	659.523981285714	16267.8885875714	11401.3373926471	31797.3881186667	1429.55602341667	5315.22776194118	111.190483928571
M00028	26034.2	56848.0052083333	15385.0541666667	13799.1826923077	31642.5535714286	39473.49609375	10497.44140625	8570.45703125	43950.9553571429	26538.99609375	11087.9453125	28416.5625	32618.8203125	63897	31896.6160714286	3651.56617647059	15615.4666666667	57654.3385416667	13865.6458333333	68231.2916666667	12252.6507352941	12977.75390625	19953.9833333333	28230.9117647059	25263.2589285714	61294.28125	52650.6458333333	6889.33482142857	47587.6651785714	32845.4485294118	90242.171875	18728.171875	21946.8602941176	3221.15178571429
M00029	18458.62625	39727.727317	11804.5133810667	15248.7085801538	25676.3680754286	26933.4998806875	8597.3125	7394.2408535	28885.0342837143	18116.795682125	8851.3669573125	18722.6239528	23308.2360985	41624.5645467273	22553.7684387143	2856.57964723529	16672.769778	35131.350899	9894.09061746667	40224.6393355333	11239.3460387647	8185.3558105625	15688.7812131333	18982.3568913529	19873.2646283571	46634.027326	48199.4666401667	6708.04784421429	34759.8252370714	22557.4741604706	62016.6171580833	15004.3516345833	19913.3806541176	3966.57142857143
M00030	3030.39156546667	7432.13201358333	2365.7278776	2147.61630261538	3440.08527957143	5535.0121556875	1296.804093	1389.1148164375	6826.23589535714	3107.9002645	1303.809477375	4579.2093659	4467.018526125	8256.00691454545	3604.07878735714	414.417155588235	1964.50807033333	10292.3333333333	2172.26839906667	10339.6814874667	1746.84386217647	1692.2885191875	3277.64670586667	3010.07200370588	2893.03902878571	9957.967651	6818.94538783333	978.816269571429	6746.14551185714	4254.69610364706	12343.7909039167	1271.24389783333	3104.52044476471	458.542441071429
M00031	0	0	0	0	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0	0.0133333333333333	0	0.0133333333333333	0	0	0	0	0.0117647058823529	0.0142857142857143	0	0	0	0.714285714285714	0	0	0	0.0117647058823529	0
M00032	2867.30156366667	7625.66031258333	2441.5964274	2295.68493376923	4146.950579	5995.9555855	1508.2017004375	1528.287523375	9393.23705528571	3570.8338694375	1691.4386185625	5538.9518685	5867.21660225	11644.4693080909	3246.94453514286	689.352826235294	2160.72343353333	12388.6611166667	2260.7445896	8864.50556673333	1406.07331811765	1603.650451	2508.48306866667	2349.07959494118	3677.50619271429	8816.85913425	7737.951159	936.631275142857	7122.12273707143	5201.43362070588	13990.7290811667	1615.05539233333	4032.86035864706	350.925255928571
M00033	15045.0933333333	32173.15	11697.08	5864.87692307692	18383.9142857143	30092.6	5490.8125	6954.0375	41187.0714285714	17185.8	8131.875	24452.02	22513.075	48785.0181818182	15955.0571428571	2736.43529411765	12242.88	57842.9833333333	12827.9066666667	42491.44	9994.65882352941	9341.0375	12876.5333333333	17328.8470588235	17962.0857142857	44502.9666666667	37309.7666666667	3646.15714285714	33963.4857142857	17935.7294117647	59665.6666666667	8729.78333333333	14241.2470588235	1255.12857142857
M00034	9645.67980933333	18163.27593875	8648.1601604	12652.6969889231	13897.5173161429	13027.9972413125	5335.7040868125	4969.794331375	11369.2752816429	8146.4531069375	5471.6671248125	8013.2317097	9824.67570775	23523.6572514545	8804.49170642857	1099.26116141176	11442.5621094667	6963.9748785	5261.77566733333	13753.2683350667	6412.23401111765	2751.60334975	8268.91163986667	8129.85078094118	13719.3917850714	24151.6217201667	33927.4769588333	4942.69471407143	13556.4489411429	10287.8212164118	22383.33134	9024.16590916667	11965.5258854118	2283.63147342857
M00035	43245.7333333333	110749.783333333	25332.56	35605.7230769231	48588.6857142857	67337.5375	23368.2875	16684.85	85262.7285714286	46844.8375	17900.5375	58126.74	73897.35	124860.945454545	57329.0857142857	6850.07058823529	23261.3333333333	135450.333333333	22998.8933333333	130025.413333333	25061.0705882353	25559.3	43830.32	44847.2588235294	46971.8	125898.55	86925.4666666667	13995.8857142857	88496.4857142857	69113.6941176471	195825.066666667	13694.9333333333	48511.2	8690.11428571429
M00036	7230.11067233333	25983.0856375833	6390.101003	981.313055076923	9003.62454142857	15059.151402625	2465.1850348125	2631.62866175	19351.4832807857	8746.11756325	2663.935286125	11525.5300955	19012.0367204375	25302.51613	9542.27725421429	1278.58284988235	5923.2948884	27503.3486475833	4679.7617282	26139.5094304667	5382.25908811765	3817.1078530625	6813.9817662	6441.86351576471	12731.6087861429	17920.8907196667	16938.6862951667	1374.22994407143	21634.1347706429	12369.4386516471	34089.2991969167	3486.62030841667	8799.71754870588	194.3129925
M00037	0	0	0	0	0	0.03125	0	0	0	0	0	0	0.046875	0	0	0	0	0.0208333333333333	0	0	0	0	0	0	0	0.0208333333333333	0	0	0.0178571428571429	0	0.0416666666666667	0	0	0
M00038	0.98	0.416666666666667	1.56	0.469230769230769	7	2.7375	0.1	0.66875	1.42142857142857	0.09375	0.6875	0.75	17.03125	0.3	2.65714285714286	0.541176470588235	0.26	10.9666666666667	0.52	2.09333333333333	2.48823529411765	0.10625	0.846666666666667	0.123529411764706	0.242857142857143	1.775	11.6333333333333	0.528571428571429	1.83571428571429	2.31176470588235	0.633333333333333	0.716666666666667	0.558823529411765	0
M00039	0.1047618	0.08333325	0.0761904	0.373626	0.489795428571429	0.196428375	0.24999975	0.124999875	0.2142855	0.0624999375	0.0267856875	0.3428568	1.0267846875	0.246753	0.0102040714285714	0.168067058823529	0.0190476	0.571428	0.0380952	0.0571428	0.142857	0.017857125	0.0285714	0.0840335294117647	0.183673285714286	0.142857	0.285714	0.173469214285714	0.102040714285714	0.0504201176470588	0.13095225	1.238094	0.151260352941176	0.0204081428571429
M00040	0.373333333333333	0.516666666666667	0.4	0.8	0.514285714285714	0.7	0.1875	0.325	0.4	0.05	0.3875	1.12	2.0625	0.890909090909091	0.228571428571429	0.611764705882353	0.0666666666666667	0.25	0.0133333333333333	0	0.2	0.1125	0.133333333333333	0.0941176470588235	0.785714285714286	0.183333333333333	0.333333333333333	0.3	0.385714285714286	0.0352941176470588	0.15	2.23333333333333	0.894117647058824	0
M00042	0	0	0	0	0	0.020833375	0	0	0	0	0	0	0.0312500625	0	0	0	0	0.0138889166666667	0	0	0	0	0	0	0	0.0138889166666667	0	0	0.0119047857142857	0	0.0277778333333333	0	0	0
M00044	0.222222133333333	0.638888583333333	1.6666662	0.192307615384615	5.97619042857143	0.97916675	1.40625	0.4270833125	0.607143	0.09375	0.375	0.4833332	9.8541705625	0.393939	0.238095285714286	0.980392117647059	0.1	4.125	0.2	1.51111086666667	0.715686529411765	0	0.544444266666667	0	0.749999642857143	0.1944445	0.861111833333333	2.28571528571429	0.964285571428571	0.911764823529412	0.472222166666667	0.388888666666667	0.823529411764706	0.214285714285714
M00045	26570.8	103169.666666667	15316.65	3524.51923076923	26191.0714285714	65694.28125	12093.03125	8273.46875	69489.4642857143	40993.375	11690.90625	46804.125	62392.640625	97156.9545454545	39318.625	5690.70588235294	11943.4	117711	17788.2666666667	118773.933333333	14205.7352941176	19751.921875	28795.7666666667	30738.6617647059	33219	81004.8125	43512.25	3063	84688.1607142857	54342.7058823529	150260.229166667	5348.04166666667	28948.7058823529	538.642857142857
M00046	31.3999744666667	102.222149416667	135.177713733333	26.8974473076923	197.428528714286	54.9582890625	44.81245725	69.270792375	214.952262642857	92.624983875	82.4374683125	154.7998752	120.395790875	39.5757355454545	73.3809210714286	4.82352605882353	33.0444172666667	59.0555101666667	21.5333288	47.9999805333333	51.8431097647059	20.2083151875	52.1555238666667	102.882269352941	516.356668428571	106.999893	154.611142	59.1189997142857	171.499848285714	22.4313637058824	75.33334175	47.9166765	25.5882333529412	1.92856992857143
M00047	88.9776888	131.52764625	290.6219316	132.82038	95.428476	52.24994775	30.9374690625	171.541495125	25.3571175	125.41654125	83.541583125	111.2332221	122.6457106875	135.333198	282.8806695	223.411541294118	151.9331814	84.44436	62.6221596	57.2666094	60.5881747058824	37.1874628125	12.6888762	63.5097404117647	61.2142245	954.4990455	315.999684	115.1189325	301.8330315	111.490084588235	317.30523825	21.999978	40.9215277058824	18.619029
M00048	80289.8433333333	216154.170833333	53150.13	48194.6807692308	84807.1714285714	135866.946875	39325.55	32073.1125	168853.928571429	95140.203125	41250.859375	106791.135	121903.465625	225713.1	91961.8464285714	13521.6588235294	55073.8466666667	252806.6	54686.31	260068.6	46482.9264705882	49344.928125	82251.9133333333	84609.3794117647	95557.3142857143	234391.116666667	170537.9	25013.6464285714	163044.357142857	124497.417647059	331059.345833333	32122.75	76337.5235294118	13507.175
M00049	47956.5919284667	122157.0344705	32736.0980166667	32173.7050792308	52922.9550212857	80063.7700578125	24639.8338940625	20701.2417195	105647.100598286	56995.7584516875	26638.010178125	63177.6413956	71423.0443474375	131404.644407818	51221.7652255714	8395.48683788235	35354.0969694667	142058.345954417	32885.0424015333	158469.658834333	31456.7031035882	29628.425648625	47121.7589290667	50481.8915719412	62523.7845142857	146187.23319175	104221.624978	16648.6838167143	95935.0806735714	75209.5777592941	202793.252216	23424.4350746667	46428.1677032353	9318.44865357143
M00050	43478.9270528667	96787.66961825	29299.4882802	31283.1285123846	47711.5285344286	67585.2333825625	21252.8560821875	17247.2326844375	103288.470589357	48349.4077435625	22852.386692375	59906.9760372	61344.2983789375	114796.469232909	41585.4595562857	7389.997044	34444.3195556	138290.430794917	29577.1548358	145247.330789933	29706.8018427647	28815.509307125	42154.2609160667	46839.3440093529	58010.1553673571	136935.084114833	88040.3814505	14466.7204037857	80890.2057391429	68162.472735	175266.457671167	19129.159015	40506.5524248235	9172.31775964286
M00051	56552.3017185333	119124.339516667	39869.2263421333	42312.7488389231	65463.7236537143	86252.234797375	29405.1792510625	22663.2296373125	117022.118124429	61815.9428263125	28604.4066715625	68478.2289345	73989.044834	150066.734324818	53538.0034087857	9184.13416894118	53477.8275323333	141291.986458917	38612.1645972	163513.143211133	35636.3791735882	32767.826602	55099.4662506667	56534.817538	68387.3337491429	153282.158350417	117354.081064167	20700.6483057143	100115.885915286	84726.5672382941	197255.336038833	27720.2081256667	54912.9473201176	11515.7694987143
M00052	15291.9333333333	39187.3650184167	10209.7	13442.2307692308	17625.9285714286	23546.78125	8662.3125	6650	31548.8571428571	16776	8497.59375	19630.15	21500.9375	39469.2272727273	16370.3928571429	2611	10908.3333333333	42406.875	9706.13333333333	45407.7	8850.76470588235	8555.875	15334.3666666667	15083.1764705882	17207.7857142857	47798.625	36459.9166666667	6250.96428571429	28846.3571428571	22745.6176470588	61217.125	6929.625	16037.1764705882	3907.57142857143
M00053	37762.1522144	96912.1648545	23897.7452822	15426.67438	40610.020305	63012.281506125	15840.1329200625	14383.2988583125	80580.0545108571	44391.85552925	18542.9194306875	47743.4238717	55923.777961875	102372.172398182	43084.6405899286	6501.25815258824	24540.9900482667	111579.833567667	24645.9234340667	124517.300203067	22138.6559777059	24690.2206784375	33333.8388891333	43311.5147252941	48170.6431329286	103062.802104667	74481.9261298333	9439.29043392857	75089.9899259286	56942.5382751765	151988.964883333	21122.7327835833	31131.7410560588	4130.66230207143
M00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0048076875	0	0	0	0	0	0	0	0	0	0	0	0
M00060	56738.9333333333	221348.475	35014.8933333333	7491.95384615385	50659.5857142857	140612.3	21378.81875	18228.6	141265.385714286	82509.7875	21483.2375	83572.79	114830.68125	224183.045454545	85190.5714285714	11208.9117647059	35273.7533333333	195558.3	37755.9533333333	234873.32	36486.8588235294	39783.975	57606.3533333333	64442.4941176471	78177.5071428571	159100.333333333	79028.8	5608.58571428571	149853.607142857	100012.947058824	311361.525	15324.15	56071.6647058824	1642.6
M00061	25415.8666666667	21235.0833333333	23638.1333333333	5509.76923076923	36825.4285714286	46693.875	11558.125	19672.3125	96846.4285714286	38932	30378.6875	51974.5	33201	58532.6363636364	12726.2142857143	6440.05882352941	6190.06666666667	141700.583333333	32051	106245.266666667	11212.9411764706	27163.6875	22530.3333333333	39939.3529411765	36516.5714285714	110597.083333333	65039.6666666667	10699	51870.4285714286	39018	91238.9166666667	19032.3333333333	12942.4705882353	457.714285714286
M00063	29874.2666666667	98958.25	17183.5333333333	3839.15384615385	26791.8571428571	63620.4375	11056.3125	9559.1875	79233.0714285714	42236.4375	13747.4375	46374.1	55970.0625	98977.5454545455	37412.7142857143	5790.88235294118	15310.6	117402.333333333	21230.0666666667	129278.066666667	16004	24223.3125	29755.5333333333	36045.3529411765	36645.3571428571	92728	41988.5	3286.85714285714	73925.2142857143	55004.3529411765	150398.833333333	6012.25	24982.2941176471	599.428571428571
M00064	6112.66666666667	4131.54166666667	5873.15	1288.36538461538	5614.35714285714	6302.328125	1522.28125	3040.84375	8667.875	5222.546875	4030.796875	3870.3	3782.375	11346.3863636364	1333.42857142857	593.544117647059	7192.2	6150.27083333333	5093.96666666667	11205.6666666667	7406.14705882353	2157.15625	3386.35	5265.72058823529	12876.4107142857	7580	11110.25	1514.92857142857	7127.28571428571	4711.83823529412	11249	9362.5625	2245.20588235294	342.75
M00066	0	0	0.0666666666666667	0	0.214285714285714	0.0625	0	0	0	0	0	0	0	0	0	0	0	0.0416666666666667	0	0	0	0	0.1	0	0	0	0	0.0357142857142857	0	0	0	0.0833333333333333	0.0294117647058824	0
