"UserName"	"food_cloud"
"MCTs01"	0.627291029048706
"MCTs03"	0.7054074201225
"MCTs04"	0.770530514524353
"MCTs05"	0.684422841417143
"MCTs06"	0.767865593010765
"MCTs07"	0.673191158164235
"MCTs08"	0.544300875221176
"MCTs09"	0.713771739034176
"MCTs10"	0.710348477134765
"MCTs11"	0.174208144796353
"MCTs12"	0.158162944322
"MCTs13"	0.791571349921882
"MCTs14"	0.687885393748059
"MCTs15"	0.746930423375294
"MCTs16"	0.574116129458765
"MCTs18"	0.753546058622412
"MCTs19"	0.724197090193941
"MCTs20"	0.7082576536
"MCTs21"	0.733160325439353
"MCTs22"	0.743184385439235
"MCTs23"	0.690181127904059
"MCTs24"	0.727859090127118
"MCTs25"	0.773947913771765
"MCTs26"	0.726448892996588
"MCTs27"	0.711089916906118
"MCTs28"	0.610683857856531
"MCTs29"	0.669870687413941
"MCTs31"	0.690861540839706
"MCTs32"	0.744011788158059
"MCTs33"	0.767271108140059
"MCTs34"	0.706832759269706
"MCTs35"	0.658930092040235
"MCTs36"	0.710756986330647
"MCTs37"	0.741701315616412
