"UserName"	"ave_cloud"
"MCTs20"	9.65703692330075
"MCTs23"	9.85208904738604
"MCTs03"	10.0860784072252
"MCTs25"	10.2128145082017
"MCTs09"	10.2193399560027
"MCTs34"	10.250156700779
"MCTs22"	10.4546089560313
"MCTs21"	10.5259701387087
"MCTs16"	10.6788081134847
"MCTs33"	10.7394804247986
"MCTs08"	11.0342093825773
"MCTs19"	11.1090755357151
"MCTs31"	11.1159420865341
"MCTs01"	11.1922790619972
"MCTs05"	11.3035872136339
"MCTs10"	11.3598524965138
"MCTs11"	11.3650776364749
"MCTs27"	11.5164669278549
"MCTs15"	11.6823790257127
"MCTs26"	11.7336597361279
"MCTs13"	11.8109421147392
"MCTs14"	12.1353710895935
"MCTs36"	12.6149965495932
"MCTs07"	12.8140499685002
"MCTs28"	12.8608194773871
"MCTs37"	13.0188994990708
"MCTs04"	13.3439789031925
"MCTs35"	13.3696467061832
"MCTs24"	13.5217050457503
"MCTs32"	13.7858289439173
"MCTs12"	13.7944212139641
"MCTs18"	14.3046136015388
"MCTs06"	15.1583392906374
"MCTs29"	15.7806718182558
