	PD_whole_tree	shannon	chao1	simpson	observed_otus
MCT.f.0530	15.0	1.36030521419	3.0	0.554633434256	3.0
MCT.f.0188	16.0	1.29472961922	3.0	0.544244413584	3.0
MCT.f.0173	7.0	0.650022421648	2.0	0.277777777778	2.0
MCT.f.0174	7.0	0.650022421648	2.0	0.277777777778	2.0
MCT.f.0189	10.0	0.189990755536	2.0	0.056555754548	2.0
MCT.f.0190	10.0	0.0900891804408	2.0	0.0225861051825	2.0
MCT.f.0171	7.0	0.721928094887	2.0	0.32	2.0
MCT.f.0172	7.0	0.650022421648	2.0	0.277777777778	2.0
MCT.f.0177	7.0	0.650022421648	2.0	0.277777777778	2.0
MCT.f.0191	10.0	0.219656893907	2.0	0.067853034373	2.0
MCT.f.0192	10.0	0.219656893907	2.0	0.067853034373	2.0
MCT.f.0175	7.0	0.650022421648	2.0	0.277777777778	2.0
MCT.f.0176	7.0	0.721928094887	2.0	0.32	2.0
MCT.f.0193	10.0	0.219656893907	2.0	0.067853034373	2.0
MCT.f.0194	10.0	0.0970963973478	2.0	0.0247344641578	2.0
